2025-08-06 03:11:01,335 | dhk_align | DEBUG | Slang normalization map built
2025-08-15 22:50:07,145 | dhk_align | INFO | 🚀 STARTUP: 7-step enhanced translation chain active
2025-08-15 22:50:13,006 | dhk_align | INFO | 👋 SHUTDOWN: DHK Align WRAITH shutting down gracefully...
2025-08-15 22:50:13,624 | dhk_align | DEBUG | Slang normalization map built
2025-08-15 22:50:13,625 | dhk_align | DEBUG | Pattern matchers built
2025-08-15 22:50:13,625 | dhk_align | DEBUG | Compound splitting rules built
2025-08-15 22:50:13,625 | dhk_align | INFO | Initialized empty adaptive cache
2025-08-15 22:50:13,625 | dhk_align | INFO | Enhanced translation engine initialized
2025-08-15 22:50:13,630 | dhk_align | INFO | 🚀 STARTUP: DHK Align WRAITH Edition initializing...
2025-08-15 22:50:13,632 | dhk_align | INFO | Performance metric: database_connection
2025-08-15 22:50:13,632 | dhk_align | INFO | Database operation: schema_init
2025-08-15 22:50:13,632 | dhk_align | INFO | 🚀 STARTUP: Database schema initialized successfully
2025-08-15 22:50:13,632 | dhk_align | INFO | Performance metric: database_initialization
2025-08-15 22:50:13,632 | dhk_align | INFO | 🚀 STARTUP: Enhanced translator engine connected to database
2025-08-15 22:50:13,632 | dhk_align | INFO | 🚀 STARTUP: Dataset file not found: data/combined_dataset_final_sequential.csv, creating sample data...
2025-08-15 22:50:13,632 | dhk_align | INFO | Performance metric: database_connection
2025-08-15 22:50:13,633 | dhk_align | INFO | 🚀 STARTUP: Sample dataset created: 11 translations
2025-08-15 22:50:13,633 | dhk_align | INFO | Performance metric: application_startup
2025-08-15 22:50:13,633 | dhk_align | INFO | 🚀 STARTUP: DHK Align WRAITH ready! (11 translations loaded)
2025-08-15 22:50:13,633 | dhk_align | INFO | 🚀 STARTUP: 7-step enhanced translation chain active
2025-08-15 22:50:48,612 | dhk_align | INFO | API request: api_translate
2025-08-15 22:50:48,614 | dhk_align | INFO | Performance metric: database_connection
2025-08-15 22:50:48,614 | dhk_align | INFO | Database operation: translation_lookup
2025-08-15 22:50:48,614 | dhk_align | INFO | Performance metric: translation_lookup
2025-08-15 22:50:48,614 | dhk_align | INFO | Performance metric: api_api_translate
2025-08-15 22:51:08,337 | dhk_align | INFO | API request: api_translate
2025-08-15 22:51:08,338 | dhk_align | INFO | Performance metric: database_connection
2025-08-15 22:51:08,338 | dhk_align | INFO | Database operation: translation_lookup
2025-08-15 22:51:08,339 | dhk_align | INFO | Performance metric: translation_lookup
2025-08-15 22:51:08,339 | dhk_align | INFO | Performance metric: api_api_translate
2025-08-17 01:32:19,337 | dhk_align | DEBUG | Slang normalization map built
2025-08-17 01:32:19,338 | dhk_align | DEBUG | Pattern matchers built
2025-08-17 01:32:19,338 | dhk_align | DEBUG | Compound splitting rules built
2025-08-17 01:32:19,338 | dhk_align | INFO | Initialized empty adaptive cache
2025-08-17 01:32:19,338 | dhk_align | INFO | Enhanced translation engine initialized
2025-08-17 01:32:19,340 | dhk_align | INFO | 🚀 STARTUP: DHK Align WRAITH Edition initializing...
2025-08-17 01:32:19,345 | dhk_align | INFO | Performance metric: database_connection
2025-08-17 01:32:19,346 | dhk_align | INFO | Database operation: schema_init
2025-08-17 01:32:19,346 | dhk_align | INFO | 🚀 STARTUP: Database schema initialized successfully
2025-08-17 01:32:19,346 | dhk_align | INFO | Performance metric: database_initialization
2025-08-17 01:32:19,346 | dhk_align | INFO | 🚀 STARTUP: Enhanced translator engine connected to database
2025-08-17 01:32:19,346 | dhk_align | INFO | 🚀 STARTUP: Dataset file not found: data/combined_dataset_final_sequential.csv, creating sample data...
2025-08-17 01:32:19,346 | dhk_align | INFO | Performance metric: database_connection
2025-08-17 01:32:19,348 | dhk_align | INFO | 🚀 STARTUP: Sample dataset created: 11 translations
2025-08-17 01:32:19,348 | dhk_align | INFO | Performance metric: application_startup
2025-08-17 01:32:19,348 | dhk_align | INFO | 🚀 STARTUP: DHK Align WRAITH ready! (11 translations loaded)
2025-08-17 01:32:19,348 | dhk_align | INFO | 🚀 STARTUP: 7-step enhanced translation chain active
2025-08-17 01:33:02,604 | dhk_align | INFO | API request: health_check
2025-08-17 01:33:02,605 | dhk_align | INFO | Performance metric: database_connection
2025-08-17 01:33:02,606 | dhk_align | INFO | Health check: healthy
2025-08-17 01:33:02,606 | dhk_align | INFO | Performance metric: api_health_check
2025-08-17 01:33:53,767 | dhk_align | INFO | API request: api_translate
2025-08-17 01:33:53,768 | dhk_align | INFO | Performance metric: database_connection
2025-08-17 01:33:53,769 | dhk_align | INFO | Database operation: translation_lookup
2025-08-17 01:33:53,769 | dhk_align | INFO | Performance metric: translation_lookup
2025-08-17 01:33:53,769 | dhk_align | INFO | Performance metric: api_api_translate
